ref,issue,licensor,style_guide,character,places_used,what_we_have,what_that_code_actually_is,the_problem,what_we_need_from_you,options,YOUR_ANSWER,YOUR_NOTES
B133,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Chatter Phone",1,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Chatter Phone",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, ken, or barbie, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B134,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Mr PH and/or Mrs PH",1,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie & Mr PH and/or Mrs PH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, ken, or barbie, mr ph, or mrs ph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B135,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie, Barbie Car & Chatter Phone",1,"Toy Story 3 - 3D Slinky Dog, Ken and/or Barbie, Barbie Car & Chatter Phone",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3d slinky dog, ken, or barbie, barbie car, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B136,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, BarbieCar & MrPH and/or MrsPH",1,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, BarbieCar & MrPH and/or MrsPH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3dslinkydog, ken, or barbie, barbiecar, mrph, or mrsph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B137,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, ChatPhon & MrPH and/or MrsPH",1,"Toy Story 3 - 3DSlinkyDog, Ken and/or Barbie, ChatPhon & MrPH and/or MrsPH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: 3dslinkydog, ken, or barbie, chatphon, mrph, or mrsph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B138,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Barbie Car & Chatter Phone,1,Toy Story 3 - Barbie Car & Chatter Phone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbie car, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B139,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Barbie Car & Mr Potato Head and/or Mrs Potato Head,1,Toy Story 3 - Barbie Car & Mr Potato Head and/or Mrs Potato Head,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbie car, mr potato head, or mrs potato head.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B140,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - Barbie Car, Chatter Phone & Mr PH and/or Mrs PH",1,"Toy Story 3 - Barbie Car, Chatter Phone & Mr PH and/or Mrs PH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: barbie car, chatter phone, mr ph, or mrs ph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B141,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Chatter Phone & Mr Potato Head and/or Mrs Potato Head,1,Toy Story 3 - Chatter Phone & Mr Potato Head and/or Mrs Potato Head,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: chatter phone, mr potato head, or mrs potato head.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B142,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Ken and/or Barbie & Barbie Car,1,Toy Story 3 - Ken and/or Barbie & Barbie Car,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, barbie car.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B143,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Ken and/or Barbie & Chatter Phone,1,Toy Story 3 - Ken and/or Barbie & Chatter Phone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B144,One row names several characters,Disney,Toy Story 3,Toy Story 3 - Ken and/or Barbie & Mr Potato Head and/or Mrs Potato Head,1,Toy Story 3 - Ken and/or Barbie & Mr Potato Head and/or Mrs Potato Head,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, mr potato head, or mrs potato head.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B145,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Barbie car & Chatter Phone",1,"Toy Story 3 - Ken and/or Barbie, Barbie car & Chatter Phone",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, barbie car, chatter phone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B146,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Barbie Car & MrPH and/or MrsPH",1,"Toy Story 3 - Ken and/or Barbie, Barbie Car & MrPH and/or MrsPH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, barbie car, mrph, or mrsph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B147,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - Ken and/or Barbie, BarbieCar, ChatterPhon & MrPH and/or MrsPH",1,"Toy Story 3 - Ken and/or Barbie, BarbieCar, ChatterPhon & MrPH and/or MrsPH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, barbiecar, chatterphon, mrph, or mrsph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B148,One row names several characters,Disney,Toy Story 3,"Toy Story 3 - Ken and/or Barbie, Chatter Phone & MrPH and/or MrsPH",1,"Toy Story 3 - Ken and/or Barbie, Chatter Phone & MrPH and/or MrsPH",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: ken, or barbie, chatter phone, mrph, or mrsph.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B149,One row names several characters,Disney,Toy Story 4,Toy Story 4 - Mr. & Mrs. Potato Head Alone,1,Toy Story 4 - Mr. & Mrs. Potato Head Alone,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: mr, mrs potato head alone.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B150,One row names several characters,Disney,Toy Story 4,Toy Story 4 - Mr. & Mrs. Potato Head with Others,1,Toy Story 4 - Mr. & Mrs. Potato Head with Others,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: mr, mrs potato head with others.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B151,One row names several characters,Disney,Tsum Tsum,Tsum Tsum - Chip & Dale with Red Nose and Antlers,1,Tsum Tsum - Chip & Dale with Red Nose and Antlers,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: chip, dale with red nose, antlers.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B152,One row names several characters,Disney,Tsum Tsum,Tsum Tsum - Phineas & Ferb,1,Tsum Tsum - Phineas & Ferb,,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: phineas, ferb.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B153,One row names several characters,Disney,Wizards of Waverly Place,"Wizards of Waverly Place - Alex, Justin & Max",1,"Wizards of Waverly Place - Alex, Justin & Max",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: alex, justin, max.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
B154,One row names several characters,WWE,"WWE Superstars, Divas, Legends & Logos","TLC: Tables, Ladders & Chairs",1,"TLC: Tables, Ladders & Chairs",,"This is one row listing more than one character. These names appear nowhere else, so we cannot confirm they are real characters: tlc tables, ladders, chairs.","Write DROP if this row is just a grouping label and not real characters. Otherwise list the correct full character names, separated by semicolons.",DROP  /  list the real character names,,
C001,Character sits under two or more MG06 codes,Warner Bros,"Annabelle Comes Home (2019) | Conjuring 2, The (2016)",Judy,2,A9(ANNABELLE COMES HOME 2019)x1  |  C3(THE CONJURING 2013)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,A9 / C3,,
C002,Character sits under two or more MG06 codes,Warner Bros,Annabelle: Creation (2017) | IT (2017),Linda,2,A7(ANNABELLE: CREATION 2017)x1  |  T7(IT 2017)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,A7 / T7,,
C003,Character sits under two or more MG06 codes,Warner Bros,Aquaman (2018) | Batman Core,Aquaman,2,AQ(AQUAMAN)x1  |  BM(BATMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,AQ / BM,,
C004,Character sits under two or more MG06 codes,Marvel,Avengers | Marvel Cross-Franchise Art Packs | Marvel Games | Marvel Universe,Blade,4,MV(MARVEL ASSORTED STYLES)x2  |  AV(AVENGERS GROUP)x1  |  GM(GAMERVERSE)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,MV / AV / GM,,
C005,Character sits under two or more MG06 codes,Warner Bros,Batman Core | Batwheels: Animated Series,Batcomputer,2,BA(BATWHEELS)x1  |  BM(BATMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BA / BM,,
C006,Character sits under two or more MG06 codes,Warner Bros,Batman Core | Superman Core | Wonder Woman Core,Other Related Characters,3,BM(BATMAN)x1  |  SM(SUPERMAN)x1  |  WW(WONDER WOMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / SM / WW,,
C007,Character sits under two or more MG06 codes,Warner Bros,"Batman Forever (1995)  | Goonies, The (1985) | Looney Tunes Core",OTHER,3,BM(BATMAN)x1  |  LT(LOONEY TUNES)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / LT,,
C008,Character sits under two or more MG06 codes,Warner Bros,Batman v Superman: Dawn of Justice (2016) | DC Super Hero Girls: Animated Series | Superman Core,Martha Kent,3,BM(BATMAN)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / SM,,
C009,Character sits under two or more MG06 codes,Warner Bros,Batman v Superman: Dawn of Justice (2016) | Justice League Core | Superman Core,Perry White,3,BM(BATMAN)x1  |  JG(JUSTICE LEAGUE)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / JG / SM,,
C010,Character sits under two or more MG06 codes,Warner Bros,Batman: Television Series (1966)  | Looney Tunes Core,Egghead,2,BM(BATMAN)x1  |  LT(LOONEY TUNES)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / LT,,
C011,Character sits under two or more MG06 codes,Warner Bros,Batman: Television Series (1966)  | Looney Tunes Core,The Bookworm,2,BM(BATMAN)x1  |  LT(LOONEY TUNES)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BM / LT,,
C012,Character sits under two or more MG06 codes,Warner Bros,Batwheels: Animated Series | Justice League Core | Superman Core,Toyman,3,BA(BATWHEELS)x1  |  JG(JUSTICE LEAGUE)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,BA / JG / SM,,
C013,Character sits under two or more MG06 codes,Warner Bros,"Conjuring 3: The Devil Made Me Do It, The (2021) | Conjuring, The (2013)",Drew,2,C1(THE CONJURING 3: THE DEVIL MADE ME DO IT)x1  |  C3(THE CONJURING 2013)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,C1 / C3,,
C014,Character sits under two or more MG06 codes,Warner Bros,"Conjuring, The (2013) | Nightmare on Elm Street, A (2010)",Nancy,2,C3(THE CONJURING 2013)x1  |  NE(NIGHTMARE ON ELM STREET)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,C3 / NE,,
C015,Character sits under two or more MG06 codes,Warner Bros,DC Super Hero Girls: Animated Series | Supergirl: Television Series (2015) | Superman Core,Lena Luthor,3,SG(SUPERGIRL)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,SG / SM,,
C016,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Boom Boom,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C017,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Cannonball,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C018,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | Marvel Universe | X-Men Classic,Domino,3,DP(DEADPOOL)x1  |  MV(MARVEL ASSORTED STYLES)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / MV / XM,,
C019,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Headpool,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C020,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Lady Deadpool,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C021,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Negasonic Teenage Warhead,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C022,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Shatterstar,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C023,Character sits under two or more MG06 codes,Marvel,Deadpool Classic | X-Men Classic,Warpath,2,DP(DEADPOOL)x1  |  XM(X-MEN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,DP / XM,,
C024,Character sits under two or more MG06 codes,Marvel,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,Mole Man,4,MV(MARVEL ASSORTED STYLES)x2  |  FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1  |  SP(SPIDER MAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,MV / FFF / SP,,
C025,Character sits under two or more MG06 codes,Marvel,Fantastic Four | Marvel Cross-Franchise Art Packs | Marvel Universe | Spider-Man,Moloid,4,MV(MARVEL ASSORTED STYLES)x2  |  FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1  |  SP(SPIDER MAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,MV / FFF / SP,,
C026,Character sits under two or more MG06 codes,Marvel,Fantastic Four | Marvel Universe | Marvel's Spidey and His Amazing Friends | Spider-Man,Trapster,4,FFF(FANTASTIC FOUR: THE FIRST STEPS MOVIE 25)x1  |  MV(MARVEL ASSORTED STYLES)x1  |  SP(SPIDER MAN)x1  |  SX(SPIDEY & FRIENDS)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,FFF / MV / SP / SX,,
C027,Character sits under two or more MG06 codes,Warner Bros,"Flash, The (2023) | Injustice: Gods Among Us: Video Game | Justice League Core | Scooby-Doo Core | Superman Core",General Zod,5,FS(THE FLASH)x1  |  JG(JUSTICE LEAGUE)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,FS / JG / SM,,
C028,Character sits under two or more MG06 codes,Warner Bros,"Gilmore Girls: Television Series | Nightmare on Elm Street, A (2010)",Dean,2,GGS(GILMORE GIRLS)x1  |  NE(NIGHTMARE ON ELM STREET)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,GGS / NE,,
C029,Character sits under two or more MG06 codes,Warner Bros,Green Lantern Core | Supergirl: Television Series (2015),Indigo,2,GN(GREEN LANTERN)x1  |  SG(SUPERGIRL)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,GN / SG,,
C030,Character sits under two or more MG06 codes,Warner Bros,Green Lantern Core | Justice League Core | Superman Core,Mongul,3,GN(GREEN LANTERN)x1  |  JG(JUSTICE LEAGUE)x1  |  SM(SUPERMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,GN / JG / SM,,
C031,Character sits under two or more MG06 codes,Warner Bros,Harry Potter and the Goblet of Fire (2005) | Supergirl (2026),Cedric,2,HP(HARRY POTTER)x1  |  SG(SUPERGIRL)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,HP / SG,,
C032,Character sits under two or more MG06 codes,Warner Bros,IT Chapter Two (2019) | IT: Welcome to Derry: Television Series,Pennywise,2,T9(IT CHAPTER TWO 2019)x1  |  WD(WELCOME TO DERRY: TELEVISION SERIES)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,T9 / WD,,
C033,Character sits under two or more MG06 codes,Warner Bros,Justice League Core | Supergirl: Television Series (2015) | Superman (2025) | Wonder Woman 1984 (2020),Maxwell Lord,4,JG(JUSTICE LEAGUE)x1  |  SG(SUPERGIRL)x1  |  SM(SUPERMAN)x1  |  WW(WONDER WOMAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,JG / SG / SM / WW,,
C034,Character sits under two or more MG06 codes,Marvel,Marvel Comics (Retro) | Marvel Universe | Spider-Man Animated Movie 2022,SP,3,MG(MARVEL RETRO GROUP)x1  |  MV(MARVEL ASSORTED STYLES)x1  |  SP(SPIDER MAN)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,MG / MV / SP,,
C035,Character sits under two or more MG06 codes,Marvel,Marvel Cross-Franchise Art Packs | Marvel Games | Marvel Universe | Marvel's Spidey and His Amazing Friends,Ms. Marvel (Kamala Khan),4,MV(MARVEL ASSORTED STYLES)x2  |  GM(GAMERVERSE)x1  |  SX(SPIDEY & FRIENDS)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,MV / GM / SX,,
C036,Character sits under two or more MG06 codes,Marvel,Marvel Cross-Franchise Art Packs | Marvel Universe | Marvel's Spidey and His Amazing Friends | Spider-Man,Arnim Zola,4,CA(CAPTAIN AMERICA)x1  |  MV(MARVEL ASSORTED STYLES)x1  |  SP(SPIDER MAN)x1  |  SX(SPIDEY & FRIENDS)x1,,"A character can only have one MG06 property. This one is used under more than one, with no clear winner.",Pick the one MG06 code this character belongs to.,CA / MV / SP / SX,,
